tag,tag_rename,type,color
Ilmu Perpustakaan dan Dokumentasi,Ilmu Perpustakaan dan Dokumentasi,default,#626273
Toulour,Toulour,default,#626273
Abrap,Abrap,default,#626273
Awyu,Awyu,default,#626273
Bolaang Mongondow,Bolaang Mongondow,default,#626273
Bugis-Makassar,Bugis-Makassar,default,#626273
Ekologi,Ekologi,default,#626273
Fotografi,Fotografi,default,#626273
Kimaam,Kimaam,default,#626273
Pulo,Pulo,default,#626273
Seluwarsa,Seluwarsa,default,#626273
Basemah,Basemah,default,#626273
Boing,Boing,default,#626273
Luhu,Luhu,default,#626273
Makeang Timur,Makeang Timur,default,#626273
Manggarai,Manggarai,default,#626273
Otomotif,Otomotif,default,#626273
Kapuas Hulu,Kapuas Hulu,default,#626273
Kesehatan,Kesehatan,default,#626273
Batuley,Batuley,default,#626273
Biak,Biak,default,#626273
Kamoro,Kamoro,default,#626273
Kei,Kei,default,#626273
Kenyah,Kenyah,default,#626273
Komering,Komering,default,#626273
Kulawi,Kulawi,default,#626273
Parsi,Parsi,default,#626273
Perhubungan,Perhubungan,default,#626273
Talaud,Talaud,default,#626273
Waropen,Waropen,default,#626273
Asmat,Asmat,default,#626273
Fakfak,Fakfak,default,#626273
Moronene,Moronene,default,#626273
Perindustrian dan Kerajinan,Perindustrian dan Kerajinan,default,#626273
Sorong,Sorong,default,#626273
Tunjung,Tunjung,default,#626273
Turki,Turki,default,#626273
Bakteriologi,Bakteriologi,default,#626273
Elnama,Elnama,default,#626273
Ibrani,Ibrani,default,#626273
Kola,Kola,default,#626273
Massenrengpulu,Massenrengpulu,default,#626273
Rusia,Rusia,default,#626273
Seram,Seram,default,#626273
Sula,Sula,default,#626273
Wakatobi,Wakatobi,default,#626273
Wamena,Wamena,default,#626273
Ekari,Ekari,default,#626273
Entomologi,Entomologi,default,#626273
Geofisika,Geofisika,default,#626273
India,India,default,#626273
Kamang,Kamang,default,#626273
Mimika,Mimika,default,#626273
Modole,Modole,default,#626273
Nanoteknologi,Nanoteknologi,default,#626273
Pamona,Pamona,default,#626273
Portugis,Portugis,default,#626273
Sabu,Sabu,default,#626273
Sekayu,Sekayu,default,#626273
Yalahatan,Yalahatan,default,#626273
Abui,Abui,default,#626273
Mentawai,Mentawai,default,#626273
Passer,Passer,default,#626273
Petapa,Petapa,default,#626273
Sumba:,Sumba,default,#626273
Telekomunikasi,Telekomunikasi,default,#626273
Ternate,Ternate,default,#626273
Amungkal,Amungkal,default,#626273
Baun,Baun,default,#626273
Bauzi,Bauzi,default,#626273
Bian Marind Deg,Bian Marind Deg,default,#626273
Bunak,Bunak,default,#626273
Ciacia,Ciacia,default,#626273
Damal,Damal,default,#626273
Denmark,Denmark,default,#626273
Gane,Gane,default,#626273
Hawaii,Hawaii,default,#626273
Kaureh,Kaureh,default,#626273
Lematang,Lematang,default,#626273
Lengkayap,Lengkayap,default,#626273
Marlasi,Marlasi,default,#626273
Melayu Kupang,Melayu Kupang,default,#626273
Moa,Moa,default,#626273
Norwegia,Norwegia,default,#626273
Oirata,Oirata,default,#626273
Ormu,Ormu,default,#626273
Rampi,Rampi,default,#626273
Tata Rias:,Tata Rias,default,#626273
Thai,Thai,default,#626273
Tobati,Tobati,default,#626273
Transportasi:,Transportasi,default,#626273
Tswana,Tswana,default,#626273
Wandamen,Wandamen,default,#626273
