row_index,hyperlinks
10062,bagusan
10073,bagi
10076,terbahak | terbahak-bahak
10082,membaham
10083,geraham
10181,baru
10184,membahas
10383,bahu-membahu
10441,baitulmaqdis
10442,baitulmaqdis
10489,membajau
10618,berbakak
10684,baksis
10707,bakpao
10746,bakterisida
10914,balam-balam | berbalam | membalam
10927,belang
10978,kacau
10992,balai-balai
11030,balig
11068,belit
11139,balsam
11169,membalun
11247,bumper
11283,akar
11288,membanat
11291,bencah
11297,membancang
11312,terbancut
11317,main
11322,bandeng
11362,banda
11387,bandering
11388,banderol
11398,membandungi
11414,terbangai
11450,membanggel
11457,bangkar
11460,bangkar
11461,bangkeh
11464,kembang
11470,terbangkang
11485,bangkai
11491,bunker
11495,bungkang
11498,bongkar-bangkir
11533,bungalo
11574,komidi
11610,benian
11684,bunker
11698,banderol
11701,banzai
11741,membantar | pembantar | pembantaran
11764,berantas
11766,bantat
11800,sebantun
11803,bani
11886,bakpao
11904,baka
11909,sara bara
11916,bergajul
11976,barangkali
12022,berangan
12025,pembarap
12026,pembarap
12032,abras
12061,barbeku
12064,barber
12077,barap
12082,barkas
12084,bahari
12093,barik-barik | berbarik-barik
12109,baris-berbaris
12137,berkas
12174,barongsai
12238,barzakh
12239,barzakh
12240,alam
12249,bahasa
12283,baskat
12327,beskap
12328,bola
12335,bakso
12339,bazoka
12367,kebata-bataan | terbata-bata
12390,batalion
12464,baktau
12472,batel
12478,baterai
12479,baterai
12480,batil
12481,batin
12482,sebati
12506,batel
12511,batel
12555,akik
12575,bata
12593,gamping
12635,marmer
12641,paras
12650,pualam
12671,topas
12709,batu bara
12747,baut
12844,bahaya
12860,bayang-bayang | bayangan | berbayang | berbayang-bayang | membayang | membayang-bayangi | membayang-bayangkan | membayangi | membayangkan | pembayang | pembayangan | terbayang | terbayang-bayang | terbayangkan
12884,baiat
12888,bayam
12896,membayong
12904,pembayun
12912,bazar
12930,ber-
12953,beasiswa
12980,kebebangan | terbebang
13023,beksan
13029,beberan | membeber | membeberkan | pembeber | pembeberan | terbeber | terbeberkan
13070,bicokok
13128,bidar
13165,bedung
13171,ikan
13176,bergadang
13182,begandering
13185,bega
13189,bagasi
13197,bagaimana
13220,bena
13221,bena
13248,membekam | pembekam
13249,membekam
13269,pekasam
13322,bekuku
13328,ber-
13343,belasungkawa
13369,membelahak | terbelahak
13380,belu-belai
13405,belangkin
13413,membelalang | membelalangkan
13420,membelam
13448,terbelangah
13456,blangko
13481,bintang
13485,membelar | selar-belar
13497,membelasut
13506,pelata
13518,berbelau-belauan
13523,beludru
13535,beleid
13538,beludru
13546,membelek | membelekkan
13554,terbelelang
13561,blender
13566,berbeleng | membeleng-beleng
13577,bengkok
13593,leter
13601,membeliak | membeliakkan | terbeliak
13640,kecibeling
13642,terbelingkang
13643,belingsatan
13645,terbelingut
13651,iblis
13684,beluluk
13693,belongkotan
13698,membelontang
13702,membelot | pembelot | pembelotan
13707,membelu
13718,membeludak
13723,baluh
13725,seluk
13728,ikan bedukang
13768,unjur
13770,balur
13771,akar
13783,membembam
13790,bimbit
13794,bumper
13800,berbenah | membenahi | pembenah | pembenahan
13897,terbendang
13898,bandar
13899,bendahara
13907,bendahari
13912,bundel
13913,bandela
13988,benggolan
13992,bengek
14003,kebengkalan
14005,keterbengkalaian | membengkalaikan | terbengkalai
14009,benkap
14032,terbengkil-bengkil
14033,bengkuang
14038,pengkol
14041,membengkos
14092,membening
14111,benzol
14136,sebentar | sebentar-sebentar | sesebentar
14152,benteh
14154,betik
14157,pentil
14160,bantah
14209,membentur
14218,kerbau
14223,benuman | membenum
14317,radu
14348,mati
14369,berberaian | memberai-beraikan
14383,terberak
14509,merah
14539,mati
14559,rangga
14594,berangsangan | memberangsang | memberangsangkan | pemberangsang
14596,berongsong
14624,berantakan | memberantakkan | pemberantakan
15408,becermin
15915,bernga
15927,memberengut
15945,rerot
15979,berpikir
16117,perkedel
16384,berhadapan
16420,seberhana
16559,memberi tahu | memberitahukan | pemberitahuan
16647,seberinda
16663,peringis
16749,beri tahu
17304,berkejut telinga
18369,bermatikan diri
18388,bermengkal hati
18595,pemberokan
18598,brokat
18618,memberon
18642,berongsang
